name,resource,tags,geometry,center_lat,center_lng
,gravel,"""source""=>""aerial imagery"", ""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((15.926960600000001 47.00624230015998, 15.9270894 47.00621670016, 15.927175199999997 47.00627710015996, 15.927250300000003 47.006319200159965, 15.9272825 47.00637220015996, 15.9272932 47.006428900159946, 15.9272771 47.006481900159926, 15.927208199999997 47.00645810015994, 15.9271715 47.00642140015994, 15.9271749 47.00634030015996, 15.927073599999996 47.00629520015997, 15.926960600000001 47.00624230015998))",47.00633776190218,15.927170954711823
,gravel,"""source""=>""aerial imagery"", ""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((15.959716599999997 47.10000260014053, 15.9604558 47.099339200140676, 15.961185399999998 47.09867820014081, 15.961695 47.098331300140856, 15.9622154 47.09851750014084, 15.962751799999998 47.09861610014083, 15.9632668 47.09864900014081, 15.963706700000001 47.09865990014081, 15.9641197 47.0987320001408, 15.964806399999997 47.09909350014072, 15.961545800000001 47.101279000140245, 15.961417099999997 47.10121500014027, 15.959716599999997 47.10000260014053))",47.09966096979642,15.962077605611334
,gravel,"""type""=>""multipolygon"", ""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.0627175 47.09279510014204, 16.063586599999997 47.09200250014221, 16.0639031 47.09164830014225, 16.0651087 47.0910146001424, 16.0654232 47.09073980014248, 16.066478999999998 47.08956870014272, 16.067221399999998 47.088555900142914, 16.0679843 47.08862650014291, 16.0681965 47.089999200142614, 16.068172599999997 47.091357300142334, 16.0681711 47.09192850014222, 16.0680739 47.09253440014208, 16.065871799999996 47.09375920014184, 16.0652442 47.09358030014188, 16.064568899999998 47.09406090014177, 16.0642544 47.09418110014172, 16.0627175 47.09279510014204), (16.064669599999995 47.09239650014212, 16.0647983 47.092553500142095, 16.0648305 47.092688700142034, 16.0652382 47.09236000014213, 16.0652489 47.09216280014217, 16.0651631 47.09198750014222, 16.0649754 47.092013000142195, 16.0647822 47.092115300142176, 16.064669599999995 47.09239650014212))",47.0916920808085,16.066040577740726
ALAS Klöch Werk Radlpass,stone,"""name""=>""ALAS Klöch Werk Radlpass"", ""type""=>""multipolygon"", ""landuse""=>""quarry"", ""operator""=>""ALAS Klöch GmbH"", ""resource""=>""stone""","POLYGON ((15.193816099999998 46.64863780023061, 15.1939416 46.64839080023066, 15.194096500000002 46.64814730023068, 15.194523699999998 46.647703500230776, 15.1949693 46.64724100023088, 15.1953497 46.646673000230976, 15.195644700000003 46.64656480023099, 15.196046399999998 46.646320400231055, 15.1967126 46.64606550023109, 15.1969059 46.64589790023111, 15.1971347 46.6459329002311, 15.1973824 46.64584120023112, 15.1976209 46.645990800231104, 15.1977785 46.6460507002311, 15.1979533 46.64614110023107, 15.198135899999997 46.64622080023105, 15.1991741 46.64669050023096, 15.199916600000002 46.64682660023095, 15.2000627 46.646564400231, 15.200153899999997 46.64622230023107, 15.2000473 46.6459584002311, 15.200645299999998 46.64533370023123, 15.201343400000003 46.64507560023127, 15.2018507 46.6449648002313, 15.2022155 46.645017300231295, 15.202611500000001 46.64512230023126, 15.202984599999997 46.64529360023124, 15.203327700000001 46.6454618002312, 15.203639300000003 46.64581570023113, 15.203811600000002 46.6460190002311, 15.2037841 46.646755000230954, 15.204037100000003 46.64721260023088, 15.204177599999998 46.64736690023083, 15.2040921 46.64754800023082, 15.2038411 46.647632700230794, 15.203573500000001 46.647680100230794, 15.203305599999998 46.647723900230766, 15.2031057 46.647841000230756, 15.202989000000002 46.64793690023073, 15.2028208 46.648051200230704, 15.2029043 46.648153200230695, 15.2030487 46.648384300230646, 15.203313900000001 46.648730200230574, 15.2026968 46.64881230023058, 15.2017575 46.64887640023055, 15.201221299999998 46.648936800230544, 15.2011933 46.64910370023051, 15.2014188 46.649052100230506, 15.2016679 46.6491328002305, 15.202339900000002 46.649136000230506, 15.203035299999996 46.64920700023049, 15.204633100000002 46.64928440023047, 15.2049526 46.64967470023039, 15.205300399999997 46.649961800230344, 15.204877399999997 46.64999080023034, 15.2048962 46.65012950023029, 15.2048022 46.6501876002303, 15.204515600000002 46.65010370023033, 15.2044404 46.6501521002303, 15.204416900000002 46.65046820023025, 15.203909399999999 46.65055860023023, 15.2037308 46.650671500230224, 15.203464100000001 46.650620300230216, 15.203713300000002 46.65039690023028, 15.2037285 46.6501769002303, 15.203601399999998 46.65012810023033, 15.2032963 46.650197900230296, 15.2029606 46.65026770023029, 15.202467300000002 46.65016990023032, 15.202218100000001 46.65017340023031, 15.201923099999997 46.6502188002303, 15.201363700000002 46.65036540023027, 15.2014502 46.650491100230255, 15.2014197 46.65063080023021, 15.201363700000002 46.6507844002302, 15.201216200000001 46.650815800230184, 15.200961999999999 46.650658700230224, 15.2004432 46.650658700230224, 15.200321199999996 46.65100080023016, 15.199761800000001 46.651105500230145, 15.199543099999996 46.650990300230156, 15.1992379 46.65102870023016, 15.1991108 46.65094490023017, 15.198757800000001 46.65092540023016, 15.198700200000001 46.65110810023014, 15.1991102 46.651271000230096, 15.199048900000001 46.65157510023004, 15.197648600000003 46.65138150023008, 15.197208999999997 46.65122570023012, 15.196911000000002 46.650928700230175, 15.1968455 46.650580100230236, 15.196763299999999 46.65028500023027, 15.196570199999998 46.65027390023028, 15.1962775 46.65035900023028, 15.1961049 46.65033440023027, 15.195863200000002 46.649959200230356, 15.195466699999999 46.64959860023042, 15.1948406 46.64920340023049, 15.1945671 46.648861000230546, 15.1942857 46.64892360023055, 15.194173500000002 46.649298400230485, 15.193967499999998 46.64908450023052, 15.193827000000002 46.64886260023055, 15.193816099999998 46.64863780023061))",46.64830403220757,15.199482435443793
,stone,"""landuse""=>""quarry"", ""resource""=>""stone""","POLYGON ((15.039091199999998 46.6634180002278, 15.039347199999996 46.66318670022783, 15.039783899999996 46.663253200227835, 15.039647400000002 46.663504400227794, 15.039371900000003 46.66379160022774, 15.039349999999999 46.66376030022773, 15.039456599999998 46.66365060022773, 15.039193200000001 46.66350880022779, 15.039091199999998 46.6634180002278))",46.66341054951603,15.039442452835294
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((14.929009100000002 46.65633710022915, 14.929065399999997 46.656101000229185, 14.929449 46.655765900229234, 14.9299848 46.65562650022927, 14.9303466 46.65529180022935, 14.9311803 46.65568590022928, 14.930928599999996 46.65629050022915, 14.9309087 46.65632740022915, 14.930818499999999 46.65649560022911, 14.930378 46.65662520022909, 14.930055599999998 46.65665750022908, 14.930393800000001 46.65672230022907, 14.930867200000002 46.656674400229086, 14.9307807 46.65677130022906, 14.930706299999999 46.65694090022904, 14.930526100000002 46.65718920022898, 14.9301065 46.65713630022898, 14.9303215 46.65688910022904, 14.9298298 46.65671000022906, 14.929269000000001 46.656533100229105, 14.929051400000002 46.656447300229125, 14.929009100000002 46.65633710022915))",46.65617241524106,14.930162818781941
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((14.754399700000002 46.57942740024358, 14.7544787 46.579297000243585, 14.754731099999997 46.57904050024364, 14.7551199 46.579034300243634, 14.756330899999996 46.57899040024366, 14.756344799999997 46.57909530024362, 14.7561582 46.57920940024362, 14.7562243 46.5793375002436, 14.755769999999998 46.57940130024359, 14.755414099999998 46.57942200024358, 14.7550209 46.57971230024352, 14.7545099 46.579734300243516, 14.754399700000002 46.57942740024358))",46.57930488725168,14.755248411542977
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((14.7584292 46.579017700243654, 14.7589691 46.57892570024367, 14.759084599999998 46.578765200243694, 14.758980499999996 46.57827080024381, 14.759073499999998 46.57826990024379, 14.760049099999998 46.57826040024379, 14.7604933 46.57886280024368, 14.760237799999999 46.57903300024365, 14.759792600000003 46.57913980024363, 14.758577100000002 46.579335600243596, 14.7584292 46.579017700243654))",46.57878153237033,14.75951803322987
,gravel,"""source""=>""geoimage.at"", ""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((14.2723928 46.52941190025282, 14.272957799999999 46.52916080025284, 14.2734378 46.52864480025296, 14.2740429 46.52805310025305, 14.275057899999998 46.52756450025313, 14.276109999999997 46.52731590025317, 14.276664899999998 46.52743320025315, 14.276892099999998 46.52765490025312, 14.2770718 46.52792800025308, 14.276908 46.528703300252936, 14.276548 46.529673400252754, 14.275812999999998 46.52939130025282, 14.275792999999998 46.52926740025282, 14.274472899999997 46.52931220025282, 14.274052899999997 46.529298400252834, 14.273717799999998 46.52943260025281, 14.2731478 46.52975590025274, 14.2732328 46.52993480025271, 14.2730878 46.530113700252684, 14.272882099999999 46.530040700252684, 14.272457799999998 46.52989010025272, 14.2723928 46.52941190025282))",46.528618421226426,14.275084016300148
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((14.2245578 46.556622200247794, 14.2249797 46.556260600247874, 14.2251633 46.55610320024791, 14.2259134 46.55629980024785, 14.2264096 46.55622240024787, 14.227083999999998 46.55647700024783, 14.227410799999998 46.556821100247774, 14.227560999999998 46.55696340024774, 14.227748299999998 46.55711620024771, 14.227791699999997 46.55714750024771, 14.227265600000003 46.55727480024768, 14.2271072 46.55738400024766, 14.226808199999999 46.55758180024762, 14.226461399999998 46.55781100024756, 14.2261457 46.558026800247546, 14.2258627 46.558432400247455, 14.2256766 46.55846390024745, 14.225595299999998 46.558702400247405, 14.225438599999999 46.55871400024742, 14.225381800000001 46.55854640024744, 14.225194299999998 46.55852980024744, 14.2249544 46.558249700247494, 14.225027899999999 46.55798610024755, 14.225118 46.55786450024756, 14.2251067 46.55764650024761, 14.2251485 46.55742930024764, 14.2250657 46.55697530024772, 14.2245578 46.556622200247794))",46.55719014134407,14.225974485728706
